variant,scene,psnr,ssim,lpips,metrics_file,raw_tail
bicycle_iter30000_r4,bicycle,25.6564693,0.7794347,0.2023928,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/bicycle_iter30000_r4/metrics.txt,"Metric evaluation progress:  88%|████████▊ | 22/25 [00:38<00:04,  1.62s/it]\nMetric evaluation progress:  92%|█████████▏| 23/25 [00:39<00:03,  1.53s/it]\nMetric evaluation progress:  96%|█████████▌| 24/25 [00:41<00:01,  1.61s/it]\nMetric evaluation progress: 100%|██████████| 25/25 [00:43<00:00,  1.63s/it]\nMetric evaluation progress: 100%|██████████| 25/25 [00:43<00:00,  1.72s/it]\n  SSIM :    0.7794347\n  PSNR :   25.6564693\n  LPIPS:    0.2023928"
counter_iter30000_r4,counter,29.6144466,0.9289855,0.1006935,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/counter_iter30000_r4/metrics.txt,"Metric evaluation progress:  90%|█████████ | 27/30 [00:46<00:05,  1.74s/it]\nMetric evaluation progress:  93%|█████████▎| 28/30 [00:48<00:03,  1.80s/it]\nMetric evaluation progress:  97%|█████████▋| 29/30 [00:50<00:01,  1.76s/it]\nMetric evaluation progress: 100%|██████████| 30/30 [00:52<00:00,  1.75s/it]\nMetric evaluation progress: 100%|██████████| 30/30 [00:52<00:00,  1.74s/it]\n  SSIM :    0.9289855\n  PSNR :   29.6144466\n  LPIPS:    0.1006935"
garden_iter15000_r4,garden,27.3542805,0.8657238,0.1141754,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/garden_iter15000_r4/metrics.txt,"Metric evaluation progress:  88%|████████▊ | 21/24 [00:32<00:04,  1.55s/it]\nMetric evaluation progress:  92%|█████████▏| 22/24 [00:34<00:03,  1.54s/it]\nMetric evaluation progress:  96%|█████████▌| 23/24 [00:35<00:01,  1.52s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:36<00:00,  1.42s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:36<00:00,  1.53s/it]\n  SSIM :    0.8657238\n  PSNR :   27.3542805\n  LPIPS:    0.1141754"
garden_iter30000_r4,garden,27.8552685,0.8751445,0.1026784,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/garden_iter30000_r4/metrics.txt,"Metric evaluation progress:  88%|████████▊ | 21/24 [1:16:18<00:06,  2.26s/it]\nMetric evaluation progress:  92%|█████████▏| 22/24 [1:16:19<00:03,  1.92s/it]\nMetric evaluation progress:  96%|█████████▌| 23/24 [1:16:20<00:01,  1.67s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [1:16:21<00:00,  1.49s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [1:16:21<00:00, 190.89s/it]\n  SSIM :    0.8751445\n  PSNR :   27.8552685\n  LPIPS:    0.1026784"
garden_iter30000_r8,garden,29.7439518,0.9252081,0.0547893,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/garden_iter30000_r8/metrics.txt,"Metric evaluation progress:  88%|████████▊ | 21/24 [00:25<00:03,  1.32s/it]\nMetric evaluation progress:  92%|█████████▏| 22/24 [00:26<00:02,  1.22s/it]\nMetric evaluation progress:  96%|█████████▌| 23/24 [00:27<00:01,  1.15s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:28<00:00,  1.11s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:28<00:00,  1.19s/it]\n  SSIM :    0.9252081\n  PSNR :   29.7439518\n  LPIPS:    0.0547893"
garden_iter7000_r4,garden,26.6160221,0.8394632,0.1527677,/root/autodl-tmp/hw3_task1_3dgs_aigc/results/3dgs/garden_iter7000_r4/metrics.txt,"Metric evaluation progress:  88%|████████▊ | 21/24 [00:24<00:03,  1.10s/it]\nMetric evaluation progress:  92%|█████████▏| 22/24 [00:25<00:02,  1.10s/it]\nMetric evaluation progress:  96%|█████████▌| 23/24 [00:26<00:01,  1.10s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:27<00:00,  1.10s/it]\nMetric evaluation progress: 100%|██████████| 24/24 [00:27<00:00,  1.15s/it]\n  SSIM :    0.8394632\n  PSNR :   26.6160221\n  LPIPS:    0.1527677"
